名称,图片,主料,辅料,调料,口味,方法,地域,季节,步骤,热量(卡路里),营养
清炒酸辣冬瓜皮,232279.jpg,冬瓜皮,油 白糖 生姜 花椒 红辣椒 盐,,酸辣,,,夏季食谱,"['冬瓜皮一定要清洗干净，去掉瓜瓤。', '现在的蔬菜水果种植的过程中都会用农药，将冬瓜皮外面一层深绿色毛绒皮用菜刀刮掉。将刮好的冬瓜皮用流水洗净。', '冬瓜皮切成片备用。切好的冬瓜皮撒上一勺盐腌制一会儿。腌制好后；沥干水分备用。', '红辣椒洗净切丝，加入一勺盐腌制。', '干红辣椒切丝；红辣椒切丝，姜切丝备用。锅中放油，烧制八成热；放入花椒慢慢煸香。再放入生姜和干红辣椒分别煸炒出香味。', '加大火力，放入沥干水分的冬瓜皮爆炒几分钟', '放进红辣椒翻炒。', '放入1勺盐到炒好的冬瓜皮中。\u3000\u3000', '加白糖调好味。\u3000\u3000', '最后烹入适量的醋。这款废物利用的菜品，简单简单可是懒人菜哦~~~特别适合就着稀饭馒头脆甜爽口；极其下饭，如果想更加开胃；放入一勺香醋炒成甜酸麻辣口味非常下饭好吃的~~~']",100,富含维生素、含蛋白质
黑胡椒牛排,272587.jpg,青柠 甜辣椒 紫甘蓝 西蓝花 菲力牛排,生抽 黑胡椒粉 盐 黄油 黑胡椒汁,,咸鲜,,,冬季食谱,"['把菲力牛排泡水10分钟.', '泡完水取出,用盐,胡椒粉,生抽腌制15分钟.', '腌制的过程中,准备一些自己喜欢的蔬菜.', '西蓝花焯水.30秒到1分钟就好了.', '蔬菜摆盘.', '煎牛排,放少许黄油煎.一定要小火.', '煎10分钟左右放胡椒汁.', '放入盘中就好了.']",250,富含蛋白质、含铁元素、维生素B
豌豆焖子,184390.jpg,豌豆凉粉,青辣椒 葱花 蒜末,,微辣,,,立夏,"['凉粉切成小块，青椒切末，葱蒜切末', '炒锅放油，放葱蒜末爆香', '放凉粉煎，底部可以煎的焦一点更好吃', '再放生抽', '等凉粉变得透明时，放青椒末', '继续翻炒入味，即可出锅', '浇上一勺油辣子，撒上葱花，味道好极了']",100,富含蛋白质、含维生素B、铁元素
煎酿白茄子,257440.jpg,白茄子 猪肉馅,色拉油 料酒 生抽 盐 姜汁 砂糖 香油 姜 蒜 蒜苔 红辣椒 蚝油 甜面酱 醋 生粉,,咸鲜,,,秋季食谱,"['肉泥里加料酒、盐、姜汁拌匀', '第一次买回的白茄子，洗干净用了2根', '把茄子斜切，2片中间不要切断', '把肉馅夹在里面，不要太多', '中间有肉泥的地方蘸点生粉封口', '平底锅放少许油，把准备好的茄夹摆在平底锅里', '用小火煎，再均匀淋上少许油，翻面后继续煎，同时再淋上少许油，煎至两面金黄色出锅备用', '姜、蒜切末，蒜苔，红辣椒切丁', '起油锅爆香姜蒜、蒜苔、辣椒', '碗里加点生抽、砂糖、醋、盐、甜面酱、蚝油和水搅匀成汁', '把调好的汁倒入姜蒜末里一起煮开', '把煎过的茄夹放入汁水里', '用小火慢慢煮沸后，淋上香油', '出锅装盘即可']",150,富含蛋白质、维生素E、铁元素
薏米红豆杂粮羹,260542.jpg,薏米 赤小豆 糯米 黑芝麻 鹰嘴豆 紫米 百合,红糖 炼乳 花生碎,,甜味,,,春季食谱 夏季食谱,"['这些是：薏米、赤小豆、紫米、黑芝麻、鹰嘴豆、糯米、百合', '放入慢炖锅加适量的水，加入红糖，设定杂粮粥（4小时），预定好时间启动。', '第二天一大早，热气腾腾的杂粮粥就熬好啦。', '稍微凉一点点后，放入打碎机打碎。', '加些炼乳和花生碎', '营养丰富的早餐，是不是很简单呢。']",100,富含蛋白质、含维生素B、铁元素
粉蒸茵陈,319734.jpg,茵陈 面粉,盐 芝麻油 大蒜 生抽 醋,,蒜香,,,春季食谱,"['刚采摘的茵陈去根去黄叶', '浸泡一会后清洗干净沥水', '放入一个大碗中', '倒入部分面粉', '翻拌均匀，再倒入一些拌匀，共加三次面粉使每一棵茵陈上都包裹上面粉', '用手将粘在一起的茵陈分开', '锅中烧开水后放入蒸屉中开大火蒸5分钟后开盖翻拌下再蒸10分钟即可', '蒜臼中加盐，蒜去皮洗净放入捣成泥', '将蒜泥装入碗中，加油、生抽、醋拌匀调成碗汁', '醮取蒜泥开吃啦']",100,富含维生素、含蛋白质
苦瓜胡萝卜肉片,242835.jpg,猪肉 胡萝卜 苦瓜,植物油 盐 淀粉 生抽 香油 干辣椒 鸡精,,咸鲜,,,夏季食谱,"['猪肉洗净切片，用适量盐、淀粉、生抽、香油抓匀，腌制片刻；', '苦瓜洗净，对半剖开，去掉苦瓜瓤、苦瓜籽，切成苦瓜片，漂水后备用；', '胡萝卜洗净，切成薄片备用；', '炒锅烧热后，倒入适量油烧热，转小火，放入干辣椒炒香；干辣椒捞出不要；', '转大火，放入肉片翻炒至颜色发白；', '放入苦瓜，大火翻炒；', '放入胡萝卜片，继续翻炒；', '食材炒熟后，调入适量盐；', '调入适量鸡精，翻炒均匀，起锅。']",100,富含维生素A、维生素C、蛋白质、铁元素
红薯杂粮粥,360148.jpg,红薯 小米 玉米糁,白糖,,其他,,,秋季食谱 冬季食谱,"['红薯削皮，切块', '红薯块和大米、玉米糁一起放入锅中大火煮开', '煮开后调中火，小心溢出', '煮至红薯边角钝化，就可以了']",100,富含膳食纤维、含蛋白质、维生素B、铁元素
肉丸白菜汤,284678.jpg,肉末 白菜,料酒 盐 味精,,清淡,,,冬季食谱,"['食材：肉末、白菜（已清洗切开）', '在肉末中加适量的料酒。', '加适量的盐。', '加适量的味精。', '调味拌匀。', '随后，做成一个个肉丸。', '接着，将做好的肉丸下入沸水锅中煮开煮上3分钟。', '然后，合入切好的白菜翻动一下煮开煮至白菜熟透。', '最后，加适量的盐。', '加适量的味精。', '调味翻匀，即成。']",100,富含蛋白质、维生素C
鸡肉嫩豆腐,298558.jpg,鸡胸肉 嫩豆腐,鸡蛋 生粉 生抽 蚝油 盐 生粉水 白糖,,咸鲜,,,夏季食谱,"['鸡蛋打散，嫩豆腐切小块放入', '鸡肉切片加入生粉、生抽、蛋清拌匀入味', '碗内放入蚝油、生抽、生粉水、白糖、盐拌匀成碗汁', '嫰豆腐块裹上蛋糊下入油锅炸至金黄色捞出沥干油', '炒锅留少许底油下入鸡肉翻炒均匀', '倒入豆腐块', '倒入碗汁', '翻匀撒上葱绿末出锅', '香味浓郁', '豆腐软嫩、鸡肉嫩滑', '味道鲜美']",150,富含蛋白质、含钙、维生素B
干煎三文鱼,253128.jpg,三文鱼块,油 盐 鸡粉 淀粉,,咸鲜,,,春季食谱,"['三文鱼块洗净，沥干水（三文鱼肉切薄片做刺身，三文鱼骨和尾巴切块可以干煎或煮汤，一鱼两吃非常不错哦）', '将沥干水的鱼块放入盆中，调入少量盐和鸡粉', '端起盆子反复抛起鱼块，让食盐均匀渗透鱼肉中，腌制片刻', '再调入1汤匙淀粉，搅拌均匀。（加淀粉目的是让淀粉裹住三文鱼的鲜味，煎制时定型好看，吃起来有酥松的口感）', '加入淀粉后也静置片刻', '热锅倒油，加入三文鱼块中火慢煎', '煎至两面焦黄色即可食用']",200,富含Omega-3脂肪酸、蛋白质、维生素D
荷叶黄瓜,353484.jpg,黄瓜,紫洋葱,,其他,,,夏季食谱,"['黄瓜切斜片', '围成圈儿摆成荷叶形', '洋葱剥好，从当中切开，一分为二，把中间的心扣出，再切切片', '用小刀削几片黄瓜，做荷花的茎和叶片', '洋葱心做花苞摆入盘中', '再把切好的洋葱放到黄瓜片上摆成花形', '黄瓜心做蜻蜓的翅膀，黄瓜皮做身子，摆成蜻蜓的样子', '成品']",100,富含维生素、含水分
西湖牛肉羹,349497.jpg,牛肉,香菇 鸡蛋 麻油 白胡椒粉 盐 鸡精 香菜 生粉,,原味,,浙菜,,"['牛肉（用的现成的），香菇切丁备用', '锅中水煮开，倒入少许香油', '把切好的牛肉，香菇丁倒入', '加入水淀粉勾芡', '鸡蛋取蛋清搅拌均匀，全部倒入锅中，迅速搅拌均匀', '加入胡椒粉，盐，鸡精，撒上香菜出锅']",100,富含蛋白质、含铁元素
珍珠丸子,374704.jpg,猪肉馅 糯米 鸡蛋清,蚝油 生抽 盐 葱 姜,,其他,,湘菜,,"['把糯米冲洗干净净，然后放入清水中浸泡1小时，沥干水分备用。', '将葱姜切成末待用。', '把猪肉馅放入大碗内，加盐，生抽，蛋清以及葱姜末一个方向搅拌，一直到搅拌上劲成为馅料。', '然后把肉馅用虎口挤成30g大小的丸子，每个丸子上滚上一层糯米，然后放在有孔蒸盘内。', '蒸箱调节到普通蒸模式，100度，蒸20分钟后取出，葱花装饰即可。']",100,富含蛋白质、含碳水化合物、维生素B
煎带鱼,232988.jpg,带鱼 油 料酒,盐 姜 淀粉 面粉,,咸鲜,,,夏季食谱,"['带鱼洗净切段，一定要把肚子清理干净，里面的黑色的膜都要洗干净，加盐，料酒腌一下加一点淀粉，面粉，少许的水，调在一起，给带鱼挂上很轻薄的糊，以前尝试过很多种挂糊或者沾粉的方法，最后发现这个方法我很喜欢。我不喜欢太厚的糊', '我这次用的是电饼铛，倒油，放两片姜煎一下，顺便用它把油抹匀，我只打开了下层加热，开着盖子', '放带鱼煎一下，煎好底下的一面再翻过来煎另一面，', '看，煎好的这面翻过来了', '这就是两人份啦']",180,富含蛋白质、含不饱和脂肪酸
生腌皮皮虾,656895.jpg,皮皮虾,蒜头 小米辣 香菜 生姜 芥末 柠檬,芝麻油 生抽 鱼露 白酒 白醋,微辣,腌,,,"['皮皮虾备用，做生腌需要新鲜活蹦乱跳的。', '蒜头，生姜，小米辣，柠檬和香菜备用。', '皮皮虾剪剪去须和虾枪后洗净沥干水备用。', '生腌需要的配料切好备用。', '柠檬挤出柠檬汁。', '把配料倒入锅中。', '鱼露3勺，白醋2勺，生抽4勺，芝麻油2勺，白酒1小勺。', '芥末适量。', '搅拌均匀。', '皮皮虾放入生腌汁里。', '放入冰箱腌上数小时入味即可。', '成品。', '成品。', '成品。', '成品。']",100,富含蛋白质、维生素A、钙、磷
腊味煲仔饭,229084.jpg,香米 腊肉 腊肠,西兰花 蒸鱼豉油,,咸鲜,,粤菜,秋季食谱 冬季食谱,"['准备好原材料；', '将米洗干净后放入小煲中，泡上一个小时；', '泡好后放在炉上开大火；', '加上盖煮；', '将腊鱼和腊肠切成片；', '这时米饭已经煮开，接开盖，让米汤适量收汁成蜂窝状；', '转为小火，汁收到差不多时将腊肉和腊肠片码放在米饭上；8.9.10.11.米饭煮熟后最后再将焯过的西兰花码放在米饭上；12.这样香喷喷的煲仔饭就做好了；', '西兰花放入加入点几滴油和适量盐的水中焯一下；', '再在上面撒上些蒸鱼豉油；', '盖上盖，小火继续煮；', '米饭煮熟后最后再将焯过的西兰花码放在米饭上；', '这样香喷喷的煲仔饭就做好了。']",500,富含蛋白质、含碳水化合物、维生素B
土豆泥蛋盅,190712.jpg,土豆 鸡蛋 牛奶,芝麻油 盐 胡椒粉 生抽 鸡精 辣椒油,,其他,,,夏季食谱 秋季食谱,"['土豆洗净后入锅里蒸制。', '鸡蛋煮熟，剥掉蛋壳后，将鸡蛋顶部切掉一部分。', '蛋黄取出。', '蒸好的土豆去皮，先压成小块。', '将蛋黄放入，放一些芝麻油继续一起压制。', '在压的过程中，放一些牛奶，直到土豆泥被压成细腻的泥状，放入盐、鸡精和胡椒粉，搅匀。', '将土豆泥放入裱花袋中，挤在蛋白盅中。', '如果喜欢口味重的，可以再淋上生抽和辣椒油，味道更好哟。']",200,富含碳水化合物、含蛋白质、维生素A
凉拌香辣鸡丝,221433.jpg,鸡胸肉 黄瓜 胡萝卜丝,油 花椒 葱 姜 生抽 香醋 白糖 鸡精 油辣子,,微辣,,川菜,春季食谱 夏季食谱 秋季食谱 冬季食谱,"['准备材料，鸡胸肉化冻洗净，蔬菜洗净', '锅中放凉水，放入葱姜、少许的花椒，放入鸡胸肉，大火烧开，', '小火煮至用筷子能插透鸡肉即可关火，大约需要8-10分钟', '捞出鸡胸肉放入凉开水中浸泡一会；', '黄瓜、胡萝卜切丝待用', '把生抽、香醋、白糖、鸡精、油辣子全部放到调料碗里，搅拌均匀；', '凉透的鸡胸肉用手撕成丝，与黄瓜收在大碗里', '胡萝卜入沸水中焯水，水里放适量的盐、少许的油，', '捞出焯水后的胡萝卜丝放在鸡丝上，浇上调好的料汁', '拌匀料汁，撒上葱花即可上桌']",150,富含蛋白质、维生素A、维生素C
清炖牛肉粉丝汤,218458.jpg,牛腱子肉 老姜 洋葱 白萝卜 红薯粉丝 香菜 青蒜 蘑菇,高度白酒 花椒 香叶 八角 陈皮 盐 料酒 咖喱粉 麻油 生抽 现磨黑胡椒 糖,,清淡,,,冬季食谱,"['牛肉切大块，提前用清水浸泡数小时，中间换几次清水，直至血水基本出尽；', '浸泡好的牛肉洗净，取一半的姜切片。将牛肉和姜片放入锅中，加入足量的清水和少许白酒，大火加热；', '煮至沸腾后，继续用大火加热几分钟，期间要撇清表面浮沫；', '我一般撇浮沫的时候，都是在旁边准备一碗温水，然后撇一次浮沫，就将油篓子在温水中浸一下，然后再继续。个人感觉这样能撇的比较干净；', '处理好牛肉后，用温水清洗干净其表面油污，沥干水分备用；', '准备好牛肉汤的其他材料。洋葱切大块，剩下的一半姜拍松，花椒等香料洗净备用；', '白萝卜去皮后切滚刀块，放入大碗中，撒上少许盐，用手抓匀，腌制30分钟左右；', '将牛肉入砂锅，加入足量清水；', '大火煮沸后，加入洋葱，花椒，香叶，姜片，陈皮，八角等香料。中间如果有浮沫，也要撇干净；', '加入适量料酒，继续大火煮沸，然后转小火，加盖慢炖；', '炖煮20~30分钟后，加入白萝卜块，大火煮沸后转小火加盖继续炖煮。白萝卜要挤去腌制过程中渗出的水分，并且用清水冲洗一下表面的盐分；', '一直炖煮到用筷子可以轻易的插进牛肉中即可。我炖了大约2小时；', '趁热加入适量盐调味；', '关火不揭盖，待其自然冷却。将牛肉捞出，与过滤后的汤汁混合，浸泡3~4小时左右或者冷藏过夜。我是冷藏过夜的；', '准备好粉丝汤所需要的材料；', '红薯粉丝提前浸泡至软；', '青蒜和香菜切末，蘑菇洗净后撕条，泡软的粉丝沥干水分备用；', '取适量牛肉清汤，加入粉丝，煮开后继续煮几分钟。然后将蘑菇也煮一下。我还加了些咖喱粉；', '在盛放青蒜和香菜的小碗中，加入少许生抽，盐和糖；', '将锅中的粉丝和牛肉汤盛入碗中，摆上切好的牛肉加入少许麻油，撒上少许现磨黑胡椒；', '拌匀后即可食用。']",100,富含蛋白质、含维生素B、铁元素
剁椒鱼头,363177.jpg,胖头鱼鱼头 剁椒 食用油 食盐 鸡精 白胡椒粉,葱 姜 蒜,,中辣,,湘菜,,"['鱼头一只，去鳞洗净。', '鱼头从中间一劈两开。', '去鳃和瘀血，抹盐煞出多余的水分，然后再用清水冲洗干净。放鸡精、白胡椒粉、食盐、鸡精用手揉搓均匀腌制十分钟。', '蒸盘铺底葱、姜、蒜（共150g）。', '放上腌制好的鱼头，再在上面均匀撒上剁椒。', '开水上锅蒸8分钟，关火后两分钟再揭锅盖。', '出锅后撒上葱、蒜末。另起锅把油烧热到“冒青烟”，关火，五秒钟后把油直接浇在葱、蒜末上。', '一道鲜、咸、辣适口下饭的剁椒鱼头就大功告成了。']",150,富含蛋白质、维生素A、维生素C、钙
红烧茄条,215472.jpg,青茄子 西红柿,大蒜 葱 姜 盐 白糖 鸡精,,酸甜,,,夏季食谱 秋季食谱,"['茄子削皮，西红柿备用', '茄子改刀切条', '西红柿切块', '蒜切片', '茄条加入生粉拌匀', '放入油锅炸至表皮发硬捞出', '放入碗中备用', '炒锅油烧热，下葱花、姜丝炒香', '倒入西红柿块翻炒', '放盐、白糖', '炒至软烂', '倒入茄子条', '翻炒匀', '撒入蒜粒、鸡精翻匀出锅']",150,富含膳食纤维、含蛋白质、维生素C
鲜虾云吞,299753.jpg,中筋面粉,虾仁 胡萝卜 猪瘦肉 香葱 橄榄油 盐 海鲜酱 生抽 生姜,,葱香,,,春季食谱,"['云吞馅食材、虾仁、猪瘦肉、胡萝卜、生姜、香葱等准备好；', '虾仁去虾线，洗净，剁碎；瘦肉洗净剁碎；胡萝卜去皮洗净切碎；香葱、生姜分别洗净剁碎；', '把剁碎的食材加入海鲜酱、生抽、橄榄油、盐拌均，云吞鲜虾馅就做好了；', '云吞皮：面粉加适量水，拌成有片状；PS：面粉与水比例1:0.55，面粉和气温都会影响水的比例，冬天稍微要增加水量。', '揉成光滑面团，静放10分钟，让面醒醒；', '再次揉面，分成三等分面团；PS：擀云吞皮小团比较容易擀；', '把面团擀成正方形，要很薄；如果粘可以晒一点面粉防止粘。', '用刀切成8*8cm的面皮，云吞皮就做好了；', '把调好的云吞馅放入云吞皮中包好；', '包自己喜欢的形状即可；PS：广东包的云吞快速，把肉馅随手一抓即可。', '清水煮沸，放入包好的云吞，适量加一点盐；', '当水再次煮沸时可以再加一点冷水，直到云吞浮起来，云吞煮熟，可以加香葱、香菜。']",100,富含蛋白质、含维生素A、维生素B、锌元素
羊肉丸子冬瓜汤,220716.jpg,羊肉 油 胡椒粉 姜 淀粉,冬瓜 精盐 大葱 香菜 香油,,咸鲜,,,冬季食谱,"['羊肉洗净，切成小块，', '用料理机绞成羊肉馅，', '大葱和姜分别切末，', '羊肉馅中加入料酒、葱末、姜末、胡椒粉、淀粉、生抽和香油，', '搅拌均匀，静置10分钟，', '冬瓜去皮，切片，香菜切末，', '砂锅中加水烧开，转成小火，', '手上抹油，用手心将拌好的羊肉馅团成小羊肉丸子，', '手上抹油，用手心将拌好的羊肉馅团成小羊肉丸子，', '下入冬瓜片，', '大火煮开，转中火煮5分钟，加1小勺盐和少许胡椒粉，', '出锅前加入香菜末即可。羊肉丸子下锅时切勿用大火，要用小火慢煮，待丸子全部浮起时，再转大火煮，这样可以避免丸子被煮散。']",150,富含蛋白质、含维生素B、铁元素
抹茶冰淇淋,280271.jpg,抹茶粉 鸡蛋黄 牛奶,糖 淡奶油,,奶香,,,夏季食谱,"['准备所需材料', '将抹茶粉和15克糖倒在一起，混合均匀', '小锅里倒入牛奶，加热至即将沸腾时离火保温', '将蛋黄加入45克糖打发至稠发白', '将温热的牛奶小量多次地倒入蛋黄中，同时迅速搅拌', '用大锅烧开一锅水，再把蛋奶糊的小锅坐在沸水里一边加热一边搅拌至浓稠状', '将蛋奶糊倒入三分之一到抹茶粉中，轻轻搅拌使抹茶和细砂糖彻底融化。再将全部的抹茶糊倒回蛋奶液中，充分搅拌均匀', '将抹茶液过筛后，关入冰箱冷藏室到小冷藏一小时', '淡奶油倒入盆中，打至7分发', '打发好的淡奶混合藏好的蛋奶糊，用刮刀翻拌匀后，倒入冰淇淋桶', '启动面包机imix程序，冰淇淋在搅拌中', '美味的抹茶冰淇淋制作完成，然后用挖球器挖出即可，搭配草莓，冰爽可口']",200,富含蛋白质、含钙、含维生素A
新疆大盘鸡,262002.jpg,鸡腿 青椒 姜 白砂糖 盐 花椒 葱 蒜,土豆 圆椒 郫县豆瓣酱 干辣椒 酱油,,微辣,,西北菜 新疆菜,秋季食谱 冬季食谱,"['准备食材：切好块的鸡腿肉、土豆青辣椒（菜椒+尖椒）、干辣椒葱、姜、蒜、郫县豆瓣酱、白砂糖、花椒', '将所有食材洗净，土豆切块，辣椒切块、姜酸切片、葱切段。', '干辣椒洗净，备用', '锅内放入少量油烧热，倒入6勺白糖，小火炒出糖色。', '倒入鸡块（离远点防止溅出热油），大火翻炒至全部上色。', '撒入少量花椒，炸出香味。', '倒入切好的葱、姜、蒜（留一半），翻炒10秒。倒入1勺酱油调味，翻炒均匀。', '将干辣椒撕成两半，撒入锅中。', '倒入3大勺郫县豆瓣酱不断翻炒均匀。', '倒入土豆块，青椒块，剩余的蒜瓣，翻炒。', '倒入清水，没过鸡肉和土豆。撒一勺半盐，用锅铲稍微翻炒一下。小火微炖20分钟，最后大火收汁即可。', '出锅装盘', '不配条子，配米饭也很好吃', '成品']",500,富含蛋白质、含维生素B、铁元素
黑米发糕,356510.jpg,黑米 面粉 清水,葡萄干 酵母粉,,原味,,,夏季食谱 秋季食谱 冬季食谱,"['将黑米放进料理杯。', '用料理机将黑米打成黑米粉。', '将黑米粉与面粉混合。', '在粉类中加入酵母粉，并搅拌均匀。', '缓慢多次的向面粉中加水（30度的温水），同时用筷子轻轻搅拌成糊状或者湿润的面团状。', '盖上盖子放在温暖的地方发酵至体积两倍大。', '加入一把葡萄干，可以切碎也可以不切碎。', '将葡萄干和面糊（面团）翻拌均匀。', '模具内壁涂抹一层油。', '将面糊（面团）到入模具，用手帮忙的话手上沾些水，这样就不粘了。', '放进蒸锅。', '大火蒸半小时，关火后虚两三分钟再揭开锅盖。', '脱模装盘就可以吃了。']",150,富含膳食纤维、含蛋白质、维生素B
肉末蒸螃蟹,346063.jpg,螃蟹 肉末,料酒 生抽 盐,,清淡,,,夏季食谱,"['食材：螃蟹（已清洗）、肉末', '在肉末中加适量的料酒。', '加适量的生抽。', '加适量的盐。', '加2勺清水。', '调味拌匀。', '将已清洗好的螃蟹去蟹壳蟹鳃用剪刀剪开放入盘中。', '接着，合入拌好的肉末。', '然后，放入蒸锅中。', '盖上盖，用大火蒸至15分钟，关火。', '最后，开盖取出。']",100,富含蛋白质、维生素A、维生素B、锌元素
三杯虾,208720.jpg,北极甜虾 蒜 白糖 生抽,香菜 辣椒酱 米酒 芝麻香油,,微辣,,,冬季食谱,"['将北极虾置于常温环境下，自然解冻。', '将芝麻香油放入锅中，烧五成热，放入蒜末，能闻到蒜香之后再放入辣椒酱。', '搅拌匀，放入北极虾。', '翻炒北极虾至颜色变深，约3分钟。', '淋生抽', '继续翻炒。', '淋上米酒，并放入白糖。', '翻炒，让调料全部融合在一起，收干汤汁关火，即可盛出。']",100,富含蛋白质、含维生素、含锌元素
